"Date","Time","Action","FW.Name","Direction","Source","Destination","Bytes","Rules","Protocol"
"datetime=26Aug2001","20:26:09","action=reject","fw_name=NFL-cp.NFL.gov","dir=inbound","src=216.120.117.22","dst=139.203.15.2","rule=15","proto=tcp/smtp",""
"datetime=26Aug2001","20:26:09","action=reject","fw_name=NFL-cp.NFL.gov","dir=inbound","src=216.120.117.22","dst=139.203.15.2","rule=15","proto=tcp/smtp",""
"datetime=26Aug2001","20:26:09","action=reject","fw_name=NFL-cp.NFL.gov","dir=inbound","src=216.120.117.22","dst=139.203.15.2","rule=15","proto=tcp/smtp",""
"datetime=26Aug2001","20:26:09","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=202.103.201.45","dst=139.203.215.250","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:09","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.184.139.57","dst=139.203.42.50","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:09","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.184.139.57","dst=139.203.135.62","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:09","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=63.142.92.2","dst=139.203.15.12","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:09","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=61.168.8.78","dst=139.203.109.218","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:09","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.39.239","dst=139.203.117.7","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:09","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.142.136.156","dst=139.203.193.40","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:09","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.252.2.5","dst=139.203.173.162","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:10","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.53.190.31","dst=139.203.69.82","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:10","action=accept","fw_name=NFL-cp.NFL.gov","dir=inbound","src=172.141.105.78","dst=139.203.15.15","bytes=44","rule=5","proto=tcp/https"
"datetime=26Aug2001","20:26:10","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=155.212.139.51","dst=139.203.244.161","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:10","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.196.252.173","dst=139.203.125.108","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:10","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.39.239","dst=139.203.68.152","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:10","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=211.192.91.195","dst=139.203.74.225","bytes=64","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:10","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.113.4","dst=139.203.174.155","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:10","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.67.26.51","dst=139.203.151.172","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:11","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=202.97.38.2","dst=139.203.63.176","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:11","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=61.179.190.68","dst=139.203.81.251","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:11","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=211.21.196.44","dst=139.203.215.51","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:11","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.44.116.240","dst=139.203.29.165","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:11","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.39.239","dst=139.203.225.12","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:11","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.184.77.8","dst=139.203.158.150","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:11","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.69.27","dst=139.203.195.186","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:11","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.127.63","dst=139.203.59.40","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:11","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=61.218.181.90","dst=139.203.181.122","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:11","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=210.217.27.82","dst=139.203.128.142","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:11","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=210.22.4.200","dst=139.203.133.42","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:11","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.184.77.8","dst=139.203.171.208","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:12","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.68.46","dst=139.203.137.141","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:12","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=24.156.204.8","dst=139.203.238.188","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:12","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.17.61","dst=139.203.210.148","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:12","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=200.226.36.175","dst=139.203.23.137","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:12","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.113.4","dst=139.203.167.7","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:13","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=212.38.173.158","dst=139.203.50.175","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:13","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.184.103.222","dst=139.203.128.149","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:13","action=accept","fw_name=NFL-cp.NFL.gov","dir=inbound","src=172.149.153.165","dst=139.203.15.15","bytes=48","rule=5","proto=tcp/https"
"datetime=26Aug2001","20:26:13","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.68.46","dst=139.203.101.85","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:13","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.67.57","dst=139.203.20.47","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:14","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.97.139.94","dst=139.203.168.137","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:14","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=129.250.240.197","dst=139.203.77.5","bytes=44","rule=29","proto=tcp/32469"
"datetime=26Aug2001","20:26:14","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=140.122.76.216","dst=139.203.182.73","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:14","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=66.48.127.50","dst=139.203.234.138","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:14","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=200.36.20.243","dst=139.203.97.13","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:14","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.252.2.5","dst=139.203.168.4","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:14","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.39.239","dst=139.203.152.191","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:14","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=194.109.136.57","dst=139.203.129.24","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:14","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.21.19","dst=139.203.113.117","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:15","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=196.40.54.153","dst=139.203.60.2","bytes=40","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:15","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=211.90.223.78","dst=139.203.164.83","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:15","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=38.178.54.170","dst=139.203.72.254","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:15","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=211.156.20.166","dst=139.203.47.86","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:15","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=211.238.54.70","dst=139.203.242.210","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:15","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=65.80.203.70","dst=139.203.23.241","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:15","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=151.4.21.30","dst=139.203.49.6","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:16","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.184.35.169","dst=139.203.57.217","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:16","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=200.211.147.23","dst=139.203.86.181","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:16","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=63.142.92.2","dst=139.203.15.12","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:16","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.67.61","dst=139.203.182.40","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:16","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.127.180","dst=139.203.125.195","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:17","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=206.246.128.5","dst=139.203.31.6","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:17","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=148.221.159.204","dst=139.203.135.98","bytes=48","rule=29","proto=tcp/http"
